id,answer,question,desc,ref
4d314b4d-0e69-47c8-8c46-b7b9b36f873b,Application Layer,OSI Model: Tầng nào là tầng trên cùng trong mô hình?,* Application Layer: Tầng ứng dụng,
2fa50e55-4b1e-4cdb-b7c2-b7e3232deeca,Application Layer,"OSI Model: Tầng nào là tầng trừu tượng nhằm chỉ định các giao thức chung, phương thức giao diện được sử dụng bởi các host?",* Application Layer: Tầng ứng dụng,
143d9293-70d4-4f58-abe5-a034f96b80b9,Application Layer,OSI Model: Tầng nào từ dưới lên trên và trước tầng trình diễn trong mô hình?,* Application Layer: Tầng ứng dụng\n\n- Mô hình OSI:\n\t{BRIGHT_GREEN}Application Layer: Tầng ứng dụng\n\tPresentation Layer: Tầng trình diễn\n\tSession Layer: Tầng phiên\n\t{BRIGHT_YELLOW}Transport Layer: Tầng giao vận\n\t{BRIGHT_RED}Network Layer: Tầng mạng\n\tData Link Layer: Tầng liên kết dữ liệu\n\tPhysical Layer: Tầng vật lý,
6dc06e76-2a21-403a-8787-9d3c0bd59859,Cuối những năm 1970 và đầu những năm 1980,OSI Model: Mô hình được phát triển vào?,,
89ecede9-1ebf-4e1c-bd4f-83231d511b3c,Data Link Layer,OSI Model: Tầng nào từ dưới lên trên và trước tầng vật lý trong mô hình?,* Data Link Layer: Tầng liên kết dữ liệu\n\n- Mô hình OSI:\n\t{BRIGHT_GREEN}Application Layer: Tầng ứng dụng\n\tPresentation Layer: Tầng trình diễn\n\tSession Layer: Tầng phiên\n\t{BRIGHT_YELLOW}Transport Layer: Tầng giao vận\n\t{BRIGHT_RED}Network Layer: Tầng mạng\n\tData Link Layer: Tầng liên kết dữ liệu\n\tPhysical Layer: Tầng vật lý,
4f6e71f5-bbfa-44cc-aef2-3b16c9bfb37e,Data Link Layer,OSI Model: Tầng nào từ trên xuống dưới và sau tầng mạng trong mô hình?,* Data Link Layer: Tầng liên kết dữ liệu\n\n- Mô hình OSI:\n\t{BRIGHT_GREEN}Application Layer: Tầng ứng dụng\n\tPresentation Layer: Tầng trình diễn\n\tSession Layer: Tầng phiên\n\t{BRIGHT_YELLOW}Transport Layer: Tầng giao vận\n\t{BRIGHT_RED}Network Layer: Tầng mạng\n\tData Link Layer: Tầng liên kết dữ liệu\n\tPhysical Layer: Tầng vật lý,
0233ea8f-e767-4dca-a2ae-8238f5cdd855,Network Layer,OSI Model: Tầng nào từ dưới lên trên và trước tầng liên kết dữ liệu trong mô hình?,* Network Layer: Tầng mạng\n\n- Mô hình OSI:\n\t{BRIGHT_GREEN}Application Layer: Tầng ứng dụng\n\tPresentation Layer: Tầng trình diễn\n\tSession Layer: Tầng phiên\n\t{BRIGHT_YELLOW}Transport Layer: Tầng giao vận\n\t{BRIGHT_RED}Network Layer: Tầng mạng\n\tData Link Layer: Tầng liên kết dữ liệu\n\tPhysical Layer: Tầng vật lý,
46e05aae-7c93-4b4e-bdf1-670c14c5d8ea,Network Layer,OSI Model: Tầng nào từ trên xuống dưới và sau tầng giao vận trong mô hình?,* Network Layer: Tầng mạng\n\n- Mô hình OSI:\n\t{BRIGHT_GREEN}Application Layer: Tầng ứng dụng\n\tPresentation Layer: Tầng trình diễn\n\tSession Layer: Tầng phiên\n\t{BRIGHT_YELLOW}Transport Layer: Tầng giao vận\n\t{BRIGHT_RED}Network Layer: Tầng mạng\n\tData Link Layer: Tầng liên kết dữ liệu\n\tPhysical Layer: Tầng vật lý,
275cbb7b-4d16-439a-b502-4e0ccae8081b,Nỗ lực ban đầu nhằm tiêu chuẩn hóa truyền thông mạng bằng cách xác định các tầng chức năng giao thức riêng biệt.,OSI Model: Khái niệm về tầng ứng dụng được nảy sinh từ mục tiêu nào?,,
5682f0ab-a712-4aa8-be5a-63ea9f7e8597,Physical Layer,OSI Model: Tầng nào là tầng dưới cùng trong mô hình?,* Physical Layer: Tầng vật lý,
8b744590-c537-4f8a-a52c-7b4cb1156b72,Physical Layer,OSI Model: Tầng nào từ trên xuống dưới và sau tầng liên kết dữ liệu trong mô hình?,* Physical Layer: Tầng vật lý\n\n- Mô hình OSI:\n\t{BRIGHT_GREEN}Application Layer: Tầng ứng dụng\n\tPresentation Layer: Tầng trình diễn\n\tSession Layer: Tầng phiên\n\t{BRIGHT_YELLOW}Transport Layer: Tầng giao vận\n\t{BRIGHT_RED}Network Layer: Tầng mạng\n\tData Link Layer: Tầng liên kết dữ liệu\n\tPhysical Layer: Tầng vật lý,
11aacc14-5d1f-4de4-a637-7ac5ba5c823a,Presentation Layer,OSI Model: Tầng nào từ dưới lên trên và trước tầng phiên trong mô hình?,* Presentation Layer: Tầng trình diễn\n\n- Mô hình OSI:\n\t{BRIGHT_GREEN}Application Layer: Tầng ứng dụng\n\tPresentation Layer: Tầng trình diễn\n\tSession Layer: Tầng phiên\n\t{BRIGHT_YELLOW}Transport Layer: Tầng giao vận\n\t{BRIGHT_RED}Network Layer: Tầng mạng\n\tData Link Layer: Tầng liên kết dữ liệu\n\tPhysical Layer: Tầng vật lý,
