id,answer,question,desc,ref
ec89192b-ef96-4730-8b2c-581839c9b8dd,4,Network - TCP/IP Model: Mô hình này tiêu chuẩn (hiện đại) gồm bao nhiêu tầng?,- Mô hình TCP/IP:\n\t{BRIGHT_GREEN}Application Layer: Tầng ứng dụng{RESET}\n\t{BRIGHT_YELLOW}Transport Layer: Tầng giao vận{RESET}\n\t{BRIGHT_RED}Network Layer: Tầng mạng\n\tData Link Layer: Tầng liên kết dữ liệu{RESET},
4cb60feb-0e23-4ebe-b3ad-90e4e12aaf81,Application Layer,Network - OSI Model: Tầng nào là nơi các ứng dụng người dùng hoạt động?,* Application Layer: Tầng ứng dụng,
4d314b4d-0e69-47c8-8c46-b7b9b36f873b,Application Layer,Network - OSI Model: Tầng nào là tầng trên cùng trong mô hình?,* Application Layer: Tầng ứng dụng,
2fa50e55-4b1e-4cdb-b7c2-b7e3232deeca,Application Layer,"Network - OSI Model: Tầng nào là tầng trừu tượng nhằm chỉ định các giao thức chung, phương thức giao diện được sử dụng bởi các host?",* Application Layer: Tầng ứng dụng,
143d9293-70d4-4f58-abe5-a034f96b80b9,Application Layer,Network - OSI Model: Tầng nào từ dưới lên trên và trước tầng trình diễn trong mô hình?,* Application Layer: Tầng ứng dụng\n\n- Mô hình OSI:\n\t{BRIGHT_GREEN}Application Layer: Tầng ứng dụng\n\tPresentation Layer: Tầng trình diễn\n\tSession Layer: Tầng phiên\n\t{BRIGHT_YELLOW}Transport Layer: Tầng giao vận\n\t{BRIGHT_RED}Network Layer: Tầng mạng\n\tData Link Layer: Tầng liên kết dữ liệu\n\tPhysical Layer: Tầng vật lý,
6dc06e76-2a21-403a-8787-9d3c0bd59859,Cuối những năm 1970 và đầu những năm 1980,Network - OSI Model: Mô hình được phát triển vào?,,
89ecede9-1ebf-4e1c-bd4f-83231d511b3c,Data Link Layer,Network - OSI Model: Tầng nào từ dưới lên trên và trước tầng vật lý trong mô hình?,* Data Link Layer: Tầng liên kết dữ liệu\n\n- Mô hình OSI:\n\t{BRIGHT_GREEN}Application Layer: Tầng ứng dụng\n\tPresentation Layer: Tầng trình diễn\n\tSession Layer: Tầng phiên\n\t{BRIGHT_YELLOW}Transport Layer: Tầng giao vận\n\t{BRIGHT_RED}Network Layer: Tầng mạng\n\tData Link Layer: Tầng liên kết dữ liệu\n\tPhysical Layer: Tầng vật lý,
4f6e71f5-bbfa-44cc-aef2-3b16c9bfb37e,Data Link Layer,Network - OSI Model: Tầng nào từ trên xuống dưới và sau tầng mạng trong mô hình?,* Data Link Layer: Tầng liên kết dữ liệu\n\n- Mô hình OSI:\n\t{BRIGHT_GREEN}Application Layer: Tầng ứng dụng\n\tPresentation Layer: Tầng trình diễn\n\tSession Layer: Tầng phiên\n\t{BRIGHT_YELLOW}Transport Layer: Tầng giao vận\n\t{BRIGHT_RED}Network Layer: Tầng mạng\n\tData Link Layer: Tầng liên kết dữ liệu\n\tPhysical Layer: Tầng vật lý,
dab14589-6ef6-4283-ba25-ca30f16191ff,Network Layer,Network - OSI Model: Tầng nào chịu trách nhiệm định tuyến các gói tin qua mạng bằng cách sử dụng địa chỉ logic (như địa chỉ IP)?,* Network Layer: Tầng mạng\n- Tầng mạng sử dụng các giao thức định tuyến và địa chỉ IP để xác định đường đi tốt nhất cho dữ liệu giữa các mạng khác nhau.,
f3a91295-da0a-407b-be76-577d11895110,Network Layer,Network - OSI Model: Tầng nào tìm đường đi (hay {BRIGHT_CYAN}định tuyến) cho dữ liệu?,* Network Layer: Tầng mạng,
0233ea8f-e767-4dca-a2ae-8238f5cdd855,Network Layer,Network - OSI Model: Tầng nào từ dưới lên trên và trước tầng liên kết dữ liệu trong mô hình?,* Network Layer: Tầng mạng\n\n- Mô hình OSI:\n\t{BRIGHT_GREEN}Application Layer: Tầng ứng dụng\n\tPresentation Layer: Tầng trình diễn\n\tSession Layer: Tầng phiên\n\t{BRIGHT_YELLOW}Transport Layer: Tầng giao vận\n\t{BRIGHT_RED}Network Layer: Tầng mạng\n\tData Link Layer: Tầng liên kết dữ liệu\n\tPhysical Layer: Tầng vật lý,
46e05aae-7c93-4b4e-bdf1-670c14c5d8ea,Network Layer,Network - OSI Model: Tầng nào từ trên xuống dưới và sau tầng giao vận trong mô hình?,* Network Layer: Tầng mạng\n\n- Mô hình OSI:\n\t{BRIGHT_GREEN}Application Layer: Tầng ứng dụng\n\tPresentation Layer: Tầng trình diễn\n\tSession Layer: Tầng phiên\n\t{BRIGHT_YELLOW}Transport Layer: Tầng giao vận\n\t{BRIGHT_RED}Network Layer: Tầng mạng\n\tData Link Layer: Tầng liên kết dữ liệu\n\tPhysical Layer: Tầng vật lý,
