id,answer,question,hint,desc
63b10514-de9b-4dac-8175-f1791b5ed63f,0 - 1,Tỉ số chung cuộc của trận đấu giữa Haiti - Scotland ở kỳ World Cup 2026 là:,,
196d2c71-7ad6-49c0-806c-9f2e61dc1fe9,1 - 0,Tỉ số chung cuộc của trận đấu giữa Bờ Biển Ngà - Ecuador ở kỳ World Cup 2026 là:,,
2f36919e-8f40-4435-b51c-3a38f5b30676,1 - 1,Tỉ số chung cuộc của trận đấu giữa Brazil - Maroc ở kỳ World Cup 2026 là:,,
0b342759-62bd-4891-90a0-d84022c31a8d,1 - 1,Tỉ số chung cuộc của trận đấu giữa Canada - Bosna & Hercegovina ở kỳ World Cup 2026 là:,,
cac8ebf2-3d10-4688-b8e0-2c5dd34ba027,1 - 1,Tỉ số chung cuộc của trận đấu giữa Qatar - Thụy Sĩ ở kỳ World Cup 2026 là:,,
6dfc98b6-e58b-49d0-8d07-997c487913dd,2 - 0,Tỉ số chung cuộc của trận đấu giữa Úc - Thổ Nhĩ Kỳ ở kỳ World Cup 2026 là:,,
ba6423d0-7740-47a5-9c28-39326b6a386c,2 - 0,Tỉ số chung cuộc của trận đấu mở màn giữa Mexico - Nam Phi ở kỳ World Cup 2026 là:,,
73514e2c-1460-485f-a6f6-1dd75e35e7d5,2 - 1,Tỉ số chung cuộc của trận đấu giữa Hàn Quốc - Séc ở kỳ World Cup 2026 là:,,
1719b65e-a55a-4fd6-b061-82cc497364d7,2 - 2,Tỉ số chung cuộc của trận đấu giữa Hà Lan - Nhật Bản ở kỳ World Cup 2026 là:,,
85340250-e064-4b58-812f-937c1aa09d4b,4 - 1,Tỉ số chung cuộc của trận đấu giữa Hoa Kỳ - Paraguay ở kỳ World Cup 2026 là:,,
f925846e-c366-400c-971f-3729bd6c0933,5 - 1,Tỉ số chung cuộc của trận đấu giữa Thụy Điển - Tunisia ở kỳ World Cup 2026 là:,,
ed8e3e4e-cd50-433f-88c0-6b27747e3c30,7 - 1,Tỉ số chung cuộc của trận đấu giữa Đức - Curaçao ở kỳ World Cup 2026 là:,,
